epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,1389.71,1.28465,1.13366,1.07746,0.60204,0.39035,0.4588,0.22564,1.72077,3.0834,1.73099,0.00059261,0.00059261,0.00059261
78,1407.7,1.29795,1.21198,1.08315,0.70137,0.375,0.47729,0.21517,1.68419,3.0423,1.68946,0.000595643,0.000595643,0.000595643
79,1425.85,1.23363,1.10419,1.06937,0.70137,0.375,0.47729,0.21517,1.68419,3.0423,1.68946,0.000598553,0.000598553,0.000598553
80,1444.36,1.17022,1.14864,1.09941,0.70137,0.375,0.47729,0.21517,1.68419,3.0423,1.68946,0.000601338,0.000601338,0.000601338
81,1462.37,1.22709,1.20809,1.12702,0.74355,0.36313,0.46457,0.21944,1.89747,2.97452,1.78891,0.000604,0.000604,0.000604
82,1480.31,1.1865,1.15581,1.09707,0.74355,0.36313,0.46457,0.21944,1.89747,2.97452,1.78891,0.000606538,0.000606538,0.000606538
83,1498.3,1.239,1.13975,1.06106,0.74355,0.36313,0.46457,0.21944,1.89747,2.97452,1.78891,0.000608953,0.000608953,0.000608953
84,1516.46,1.17537,1.1947,1.09997,0.71221,0.37392,0.49333,0.2349,1.82261,2.87605,1.73248,0.000611243,0.000611243,0.000611243
85,1534.41,1.15132,1.096,1.05445,0.71221,0.37392,0.49333,0.2349,1.82261,2.87605,1.73248,0.00061341,0.00061341,0.00061341
86,1552.25,1.23894,1.17346,1.09396,0.71221,0.37392,0.49333,0.2349,1.82261,2.87605,1.73248,0.000615453,0.000615453,0.000615453
87,1570.26,1.06401,1.03523,1.02547,0.71221,0.37392,0.49333,0.2349,1.82261,2.87605,1.73248,0.000617372,0.000617372,0.000617372
88,1588.34,1.25285,1.23407,1.08086,0.67868,0.41626,0.5435,0.24325,1.83625,2.79483,1.80839,0.000619168,0.000619168,0.000619168
89,1606.31,1.22614,1.11677,1.11196,0.67868,0.41626,0.5435,0.24325,1.83625,2.79483,1.80839,0.00062084,0.00062084,0.00062084
90,1624.34,1.19371,1.15348,1.10166,0.67868,0.41626,0.5435,0.24325,1.83625,2.79483,1.80839,0.000622388,0.000622388,0.000622388
91,1642.66,1.14555,1.05681,1.0447,0.67868,0.41626,0.5435,0.24325,1.83625,2.79483,1.80839,0.000623813,0.000623813,0.000623813
92,1660.65,1.33478,1.14901,1.09336,0.55775,0.51671,0.5808,0.28226,1.9249,2.65529,1.90629,0.000625113,0.000625113,0.000625113
93,1678.56,1.16425,1.11377,1.07513,0.55775,0.51671,0.5808,0.28226,1.9249,2.65529,1.90629,0.00062629,0.00062629,0.00062629
94,1696.55,1.14232,1.05377,1.02582,0.55775,0.51671,0.5808,0.28226,1.9249,2.65529,1.90629,0.000627343,0.000627343,0.000627343
95,1714.42,1.1576,1.13817,1.02948,0.55775,0.51671,0.5808,0.28226,1.9249,2.65529,1.90629,0.000628273,0.000628273,0.000628273
96,1732.42,1.10826,1.05325,1.06125,0.50196,0.48956,0.52847,0.25251,1.96486,2.60144,1.87906,0.000629078,0.000629078,0.000629078
97,1750.31,1.1344,1.0516,1.04544,0.50196,0.48956,0.52847,0.25251,1.96486,2.60144,1.87906,0.00062976,0.00062976,0.00062976
98,1768.36,1.13131,1.06344,1.03906,0.50196,0.48956,0.52847,0.25251,1.96486,2.60144,1.87906,0.000630318,0.000630318,0.000630318
99,1786.3,1.18842,1.09539,1.10798,0.50196,0.48956,0.52847,0.25251,1.96486,2.60144,1.87906,0.000630753,0.000630753,0.000630753
100,1804.26,1.253,1.19293,1.19517,0.52672,0.5246,0.59563,0.25731,1.97881,2.58726,1.96473,0.000631063,0.000631063,0.000631063
101,1822.2,1.04239,1.02983,1.0092,0.52672,0.5246,0.59563,0.25731,1.97881,2.58726,1.96473,0.00063125,0.00063125,0.00063125
102,1840.55,1.10816,1.11674,1.00654,0.52672,0.5246,0.59563,0.25731,1.97881,2.58726,1.96473,0.000625062,0.000625062,0.000625062
